Cod partener,Nr.contract,Adresa partener,Contract start,Stare,Contract end,Cod produs,Tip produs,UM,Valuta,Pret contractat,Pret mediu factura,Cantitate facturat total
28202557,597,"…. - orado,  DOAMNA STANCA, FAGARAS",20-Feb-2012,Valid,20.03.2014,SGF_288,Marfa,KG,EUR,32.61,24.56,297
28202557,2154,"…. - EL DORADO 2, TABACARI, FAGARAS",20-Oct-2020,Valid,19.10.2025,SGF_254,Marfa,KG,EUR,35.12,27.98,3
28202557,2155,"…. - orado,  DOAMNA STANCA, FAGARAS",20-Oct-2020,Valid,19.10.2025,SGF_288,Marfa,KG,EUR,32.61,24.56,297
32004205,904,"…. -  STR. INTRAREA NOUA, MOGOSOAIA",10-Dec-2013,Valid,10.11.2016,SGF_288,Marfa,KG,EUR,35.12,26.13,15
2175319,1000,"…. - -SEDIU CENTRAL, NOVACI, NOVACI",17-Sep-2014,Valid,20.09.2017,SGF_288,Marfa,KG,EUR,32.61,20.85,224
687134,1967,"…. - SI SERVICII-ALEX, 1 MAI, JIBOU",15-Apr-2019,Valid,02.05.2023,SGF_288,Marfa,KG,EUR,24.28,19.95,710
37236737,1600,"…. - HOOL PUB, TRANDAFIRILOR, JIBOU",17-May-2017,Valid,19.05.2020,SGF_286_7515,Marfa,KG,EUR,25.76,19.61,147
37236737,1600,"…. - HOOL PUB, TRANDAFIRILOR, JIBOU",17-May-2017,Valid,19.05.2020,SGF_288,Marfa,KG,EUR,33.87,23.88,179
41547073,2066,"…. -  SRL- ALFA CAFE, PUTNEI, ROMAN",15-Jan-2020,Valid,14.01.2023,SGF_288,Marfa,KG,EUR,31.36,25,9
13903183,1095,"…. -  ALPIN STRAJA, -Straja, LUPENI",16-Feb-2015,Valid,20.02.2018,SGF_288,Marfa,KG,EUR,32.61,23.59,32
30356396,1313,"…. - ORE, NICOLAE CARAMFIL, SECTOR1",16-Mar-2016,Valid,19.03.2019,SGF_288,Marfa,KG,EUR,32.61,24.5,10
31556619,916,"…. - LUJ, STR. PIEZISA, CLUJ-NAPOCA",22-Jan-2014,Valid,01.01.2017,SGF_269_1100,Marfa,KG,EUR,33.87,24.97,44
31556619,917,"…. - LUJ, STR. PIEZISA, CLUJ-NAPOCA",22-Jan-2014,Valid,01.01.2017,SGF_269_1100,Marfa,KG,EUR,33.87,24.97,44
24604705,2260,"…. - CENTRAL, MIERLEI, VISEU DE SUS",23-Mar-2022,Valid,21.03.2025,SPM_01.CC0004.000,"Echipamente tehnologice (masini, utilaje si instalatii de lucru)",BUC,EUR,0,530.19,2
16357027,2021,"…. - L. - PENSIUNE, VÎRFURILE, ARAD",20-Aug-2019,Valid,19.08.2022,SGF_2V1_1990,Marfa,KG,EUR,20.07,15.99,13
25056635,664,"…. -  STR. DR. TITU PERTIA, FAGARAS",26-Jul-2012,Valid,18.11.2016,SGF_288,Marfa,KG,EUR,33.87,25.3,13
9496529,1668,"…. - TOPY BAR, CAREIULUI, SATU MARE",8-Aug-2017,Valid,09.08.2020,SGF_2V1_1990,Marfa,KG,EUR,17.56,13.98,196
34670838,1326,"…. - lea lui Traian, RAMNICU VALCEA",29-Mar-2016,Valid,31.03.2019,SGF_288,Marfa,KG,EUR,31.36,24,16
37761094,1941,"…. - D - VIVO, VICTORIEI, BAIA MARE",8-Mar-2019,Valid,09.03.2022,SGF_269_1100,Marfa,KG,EUR,33.87,27,2
25129877,1257,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",20-Nov-2015,Valid,31.03.2019,BRO_TR70,Marfa,Cut,EUR,0,2.45,30
25129877,1257,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",20-Nov-2015,Valid,31.03.2019,BRO_TN70,Marfa,Cut,EUR,0,2.04,146
25129877,1257,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",20-Nov-2015,Valid,31.03.2019,BRO_TF70,Marfa,Cut,EUR,2.09,2.3,16
25129877,1257,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",20-Nov-2015,Valid,31.03.2019,BRO_TL70,Marfa,Cut,EUR,2.09,2.14,309
25129877,1257,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",20-Nov-2015,Valid,31.03.2019,BRO_TFF80,Marfa,Cut,EUR,2.09,2.54,82
25129877,1257,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",20-Nov-2015,Valid,31.03.2019,BRO_TPEP80,Marfa,Cut,EUR,2.09,2.21,"1,018.00"
25129877,1257,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",20-Nov-2015,Valid,31.03.2019,BRO_TCAM80,Marfa,Cut,EUR,2.09,2.21,587
25129877,1257,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",20-Nov-2015,Valid,31.03.2019,BRO_TW80,Marfa,Cut,EUR,2.09,2.17,291
25129877,1257,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",20-Nov-2015,Valid,31.03.2019,ZZZ_32,Marfa,KG,EUR,0.83,0.95,"36,118.00"
25129877,1257,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",20-Nov-2015,Valid,31.03.2019,SGF_200.002.017,Marfa,KG,EUR,20.61,19.03,894
25129877,1257,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",20-Nov-2015,Valid,31.03.2019,ZZZ_3132,Marfa,KG,EUR,0.83,0.83,"1,142.00"
25129877,1937/33,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",25-Feb-2019,Valid,31.12.2021,SGF_2V1_1990,Marfa,KG,EUR,23.02,19.04,"4,958.00"
25129877,1937/33,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",25-Feb-2019,Valid,31.12.2021,BRO_TN70,Marfa,Cut,EUR,2.36,2.04,146
25129877,1937/33,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",25-Feb-2019,Valid,31.12.2021,BRO_TCHAI80,Marfa,Cut,EUR,2.36,2.17,422
25129877,1937/33,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",25-Feb-2019,Valid,31.12.2021,BRO_TL70,Marfa,Cut,EUR,2.36,2.14,309
25129877,1937/33,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",25-Feb-2019,Valid,31.12.2021,BRO_TRB80,Marfa,Cut,EUR,2.36,2.18,862
25129877,1937/33,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",25-Feb-2019,Valid,31.12.2021,BRO_TLG80,Marfa,Cut,EUR,2.36,2.23,667
25129877,1937/33,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",25-Feb-2019,Valid,31.12.2021,BRO_TCAM80,Marfa,Cut,EUR,2.36,2.21,587
25129877,1937/33,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",25-Feb-2019,Valid,31.12.2021,BRO_TRA80,Marfa,Cut,EUR,2.36,2.16,561
25129877,1937/33,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",25-Feb-2019,Valid,31.12.2021,BRO_TGL80,Marfa,Cut,EUR,2.36,2.16,556
25129877,1937/33,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",25-Feb-2019,Valid,31.12.2021,BRO_TW80,Marfa,Cut,EUR,2.36,2.17,291
25129877,1937/33,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",25-Feb-2019,Valid,31.12.2021,BRO_TRP80,Marfa,Cut,EUR,2.36,2.21,722
25129877,1937/33,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",25-Feb-2019,Valid,31.12.2021,ZZZ_32,Marfa,KG,EUR,0.92,0.95,"36,118.00"
25129877,1937/33,"…. - RAL, DOROBANTILOR, CLUJ-NAPOCA",25-Feb-2019,Valid,31.12.2021,ZZZ_3132,Marfa,KG,EUR,0.83,0.83,"1,142.00"
33093901,1060,"…. - V.VLAD DE LA MARINA, TIMISOARA",10-Sep-2014,Valid,10.10.2017,SGF_28X_7510,Marfa,KG,EUR,37.63,27.75,64
952770,185,"…. - TR. EROU CIPRIAN PINTEA, BACAU",29-Jul-2009,Valid,31.12.2019,SGF_269_1100,Marfa,KG,EUR,32.61,24.07,34
952770,1342,"…. - TR. EROU CIPRIAN PINTEA, BACAU",18-Apr-2016,Valid,31.03.2019,SGF_269_1100,Marfa,KG,EUR,33.87,24.07,34
43285351,2368,"…. - RCO, DRAGOS VODA, VISEU DE SUS",11-Nov-2022,Draft,10.11.2022,SGF_269_1100,Marfa,KG,EUR,30,27.5,8
1106353,1075,"…. - ESTAURANT, MURESENILOR, BRASOV",12-Dec-2014,Valid,09.12.2016,SGF_288,Marfa,KG,EUR,28.35,20.4,410
16639338,650,"…. - L, STR. MESTESUGARILOR, ORADEA",12-Apr-2012,Valid,20.03.2013,SGF_288,Marfa,KG,EUR,32.61,21.6,371
16639338,682,"…. - L, STR. MESTESUGARILOR, ORADEA",14-May-2012,Anulat,20.04.2013,SGF_288,Marfa,KG,EUR,31.36,21.6,371
30764140,710,"…. - NA, STR. DRISTORULUI , SECTOR1",16-Oct-2012,Anulat,20.09.2015,SGF_288,Marfa,KG,EUR,31.36,8,15
47625111,2403,"…. -  CAFFE, PARC LIBERTATII, SEBIS",19-Apr-2023,Valid,19.04.2025,SGF_269_1100,Marfa,KG,EUR,29.12,29.12,47
23113386,1593,"…. - M CAFFE, GHEORGHE DOJA, HARLAU",27-Apr-2017,Valid,30.04.2022,SGF_269_1100,Marfa,KG,EUR,33.87,26.49,395
23113386,1593,"…. - M CAFFE, GHEORGHE DOJA, HARLAU",27-Apr-2017,Valid,30.04.2022,SGF_288,Marfa,KG,EUR,33.87,24.91,276
